date,source,cycle,stance,score,comment,keyword,entry_via
2026-08-12,알상무,데일리,🟢 Bull,1,"수급상 빈집. 외인들 들어오고 있음. 코스피 6700 목표. 다만 상방이 높다는 거지 물린 사람들은 가만히 있길 권장, 영끌 풀매수 하란거 아님. 지금 전/닉을 찍어누를 모멘텀이 굳이 없고, 숏커버링을 걷어내는 타이밍 (숏플레이어 관점에서). 8/13 목요일은 한국 옵션 만기로, 이때 상방으로 가면 유리해짐. 닉스가 주주환원 비리할지라도, 삼전이 오르는데 닉스가 눌릴수는 없으니 같이 간다. 섣부른 매도는 하지 말자 (너무 크게 물린 사람은 한주라도 팔아보자)",,sheet
2026-08-13,서재형,주간,⚪ Neutral,0,삼전 주가 매일의 등락은 중요하지 않다고 생각함. 오래 들고 가봐도 괜찮다. 해마다 버는 돈이 PBR을 떨어트리게 된다.,,sheet
2026-08-13,알상무,데일리,🟢 Bull,1,"장전: 숏 계절은 끝났고 이제 가드만 올리던 국면에서 반격 국면으로 전환. 전자는 CTA 롱 유입 가능, 하이닉스도 따라올 그림. 다만 물린 사람은 무리한 추매 절대 금지, 리밸런싱은 지수에 붙이는 쪽으로. 오후 3시 이후 외인 매도세가 보이면 경계지수를 올려라 — 아직 완전 반등은 아니다. 지금 잘해야 하반기 농사를 짓는다.
장후: 코스피는 6,800으로 마감해 120일선(6,700) 위를 회복 — 비상 상황은 아니지만 아직 안심할 단계는 아니다. 나스닥은 26,600에 걸려 있고, 27,000(전고 27,190) 돌파 시 국내 하방도 제한적. 숏이 완전히 진 건 아니나 슬슬 철수하는 느낌이라 롱이 불리하지 않다. 시장은 AI 리스크를 잊은 상태. 오늘 PPI는 유가 하락 반영으로 낮게 나올 여지가 있어 부담 요인 아님. 내일 관건은 외인 매수 지속 여부. 물린 사람은 절대 관망, 현금 보유자는 외인이 장 후반까지 사는 걸 확인한 경우에만 매수.",,sheet
2026-08-14,김기훈,데일리,🟢 Bull,1,"오전: 하닉 수급은 긍정적으로 풀렸고 메모리 수익성/지속성 그림이 그려짐. 모든 수요/공급 Player들이 동일한 논조이니 일단 믿어보자.",,chat
2026-08-14,알상무,데일리,🟢 Bull,1,"오전: 오늘 오후 2시 기준 외인 순매수 1~3조 이상, 코스피 +3%, 하이닉스 170만원대 이상이면 긍정 시그널. 기본적으로 지금은 롱 가능성이 더 높지만 월 휴장 등 리스크 관리는 필요한 시점 — 여기서 빠지면 더 위험할 수 있음. 물린 사람은 과도한 롱 베팅은 하지 말 것.",,chat
2026-08-17,알상무,주간,🟢 Bull(Slight Long),0.5,"8/18~21 주간전략: 가장 큰 변화는 변동성 감소(V-코스피 지표) — 코스피가 강해질 수 있는 '핑계'. 6~7월 대비 8월은 하락뷰가 꽤 어필되는 중. 2주 전엔 '외국인 사고 빠지면 사라', 1주 전엔 '외국인만 사도 사라'로 콜 변화 — 외국인이 사면 코스피가 5% 올라도 산다는 입장. 반도체 위주로 7500 근처 갈 확률 70% 정도로 봄, 아직 순환매 아니라고 판단. 전략: 마지막 숏커버링+들어오는 외인에 타자 / 지수(전자·닉스)에 붙이자 / 오전·오후 시간분할 매수. 1부대는 자유매매+2부대는 종가매매 권장(익숙해지면 주간/월간/분기 분할도 가능). 하락 잠재근거는 WTI(미-이란)·미국금리인데 이번 주는 크리티컬하지 않을 듯.",8/18~21 주간전략,chat
2026-08-18,알상무,데일리,🟢 Bull(Slight Long),0.5,"장전: 한국 변동성 작아지며 마일드한 상승 예상. 개인투자자는 반 정도는 살짝 다시 꺼드럭거리는 느낌('역시 내 결정은 옳았어'). 이번 주는 물린 분·리밸런싱·돈 많은 분 모두 사는 주간이라고 봄 — 분할매수, 오전/오후로 나눠서 사는 것 권장. 물린 사람은 정말 쪼금만. 풀롱은 절대 아니고 현금 30% 이상 보유 권장. 장기적으로 글로벌 경기가 좋은 상황은 아니라 조심하며 가야 함.",,chat
2026-08-19,알상무,데일리,⚪ Neutral,0,"장전: 금리압박이 주요 팩터 — 시장이 그렇게 느끼니 과소평가는 아닐 수도. 소뱅 9조원 채권 발행(자금난 시그널), 오라클 3일 연속 하락으로 반도체 전반 우려 확산 우려. 트럼프 이슈·FOMC 의사록도 호재 아님, 딱히 호재 없는 상황. So what? 오늘은 아무것도 안 하고 하루 더 지켜보자 — 즉시 손절도 실익 없다고 봄. 롱숏 다 먹을 거 없어 등락 반복 예상. 생각 바뀌면 그때 액션.",,chat
2026-08-19,김기훈,데일리,⚪ Neutral,-0.5,"장전: 금리문제 월요일 발생했는데 그날은 상승하다 하루만에 방향전환 — 이란·유가·금리 상관관계도 악영향. 8월 반도체 호실적으로 펀더멘탈 강조되다 다시 매크로로 관심 이동, 앤트로픽 IPO 뉴스로 수급 물량 우려도. 단기 악재 부각되며 반등분 이익실현 필요 구간으로 봄. 다만 담주 국채 발행물량 감소로 금리 부담 일부 완화 가능, 이란 이슈도 답 없는 건 아님. 현재 급락→반등→재하락의 전형적 하락장 패턴 vs 재반등 여부는 아직 판단 불가 — 올라온 부분 20% 정도 일부실현 후 지켜보기 권장.",,chat
2026-08-24,알상무,데일리,⚪ Neutral,0,차트상 좋진 않음. 120선이 6700 정도인데 하회. 위로는 7200 아래로는 6400. 6400을 로스컷으로 두고 목요일까지 지켜볼 예정. 근거는 딱히 없지만 지금은 많이 밀릴 거 같지 않은 느낌. 외국인이 사면 산다 기조는 유지. 순환매 미련 버리고 주도주만 취급. 7200을 넘으면 위로 열릴 수 있음.,지표추적자,chat
