id,text,updated,entry_via
P01,현생을 살자. 돈보다 중요한 건 시간이고 청춘이다.,2026-09-05,sheet
P02,방향성 베팅을 지양한다. 인버스 & 개별 종목 전량 레버리지는 금지.,2026-09-05,sheet
P03,조급함을 주의하라. 벤치마크는 나스닥이다.,2026-09-05,sheet
P04,탐욕을 멀리하라. 만족할 수익이 났을 때 일부라도 즉시 실현하는 습관을 들여라.,2026-09-05,sheet
P05,현금도 포지션이다. 현금은 나의 생명줄이다.,2026-09-05,sheet
P06,신용도 결국 남의 돈이다. 이자는 매달 나가는 확정 손실이다.,2026-09-05,sheet
P07,계좌 고점은 내 돈이 아니다.,2026-09-05,sheet
P08,일이 터진 후 대응하면 늦다. 사후 대응은 '리스크 관리' 차원에서만.,2026-09-05,sheet
P09,한 사람의 뷰에 모든 것을 걸지 마라. 최소 3개 이상 뷰를 트래킹하며, 본인의 뷰를 필수적으로 쌓아나가라.,2026-09-05,sheet
P10,운에 계좌를 시험하지 마라. 살아남았을 때 그것이 실력이었는지 운이었는지 반드시 구분하라.,2026-09-05,sheet
P11,한 번의 패배가 계좌를 죽이지 않게 하라. 익스포저는 계좌의 일부만, 손절컷은 반드시 지킨다.,2026-09-05,sheet
P12,수익 국면이 가장 위험하다. 수익에 무뎌지는 순간이 바로 디레버리징 타이밍이다.,2026-09-05,sheet
P13,시장을 존중하라. 남의 계좌와 비교하지 말고, 두 사람 말만 듣지 마라.,2026-09-05,sheet
